seqnames	start	end	chromatin
ch06	38300001	38400000	Euchromatin
ch06	38400001	38500000	Euchromatin
ch06	38500001	38600000	Euchromatin
ch06	38600001	38700000	Euchromatin
ch06	38700001	38800000	Euchromatin
ch06	38800001	38900000	Euchromatin
ch06	38900001	39000000	Euchromatin
ch06	39000001	39100000	Euchromatin
ch06	39100001	39200000	Euchromatin
ch06	39200001	39300000	Euchromatin
ch06	39300001	39400000	Euchromatin
ch06	39400001	39500000	Euchromatin
ch06	39500001	39600000	Euchromatin
ch06	39600001	39700000	Euchromatin
ch06	39700001	39800000	Euchromatin
ch06	39800001	39900000	Euchromatin
ch06	39900001	40000000	Euchromatin
ch06	40000001	40100000	Euchromatin
ch06	40100001	40200000	Euchromatin
ch06	40200001	40300000	Euchromatin
ch06	40300001	40400000	Euchromatin
ch06	40400001	40500000	Euchromatin
ch06	40500001	40600000	Euchromatin
ch06	40600001	40700000	Euchromatin
ch06	40700001	40800000	Euchromatin
ch06	40800001	40900000	Euchromatin
ch06	40900001	41000000	Euchromatin
ch06	41000001	41100000	Euchromatin
ch06	41100001	41200000	Euchromatin
ch06	41200001	41300000	Euchromatin
ch06	41300001	41400000	Euchromatin
ch06	41400001	41500000	Euchromatin
ch06	41500001	41600000	Euchromatin
ch06	41600001	41700000	Euchromatin
ch06	41700001	41800000	Euchromatin
ch06	41800001	41900000	Euchromatin
ch06	41900001	42000000	Euchromatin
ch06	42000001	42100000	Euchromatin
ch06	42100001	42200000	Euchromatin
ch06	42200001	42300000	Euchromatin
ch06	42300001	42400000	Euchromatin
ch06	42400001	42500000	Euchromatin
ch06	42500001	42600000	Euchromatin
ch06	42600001	42700000	Euchromatin
ch06	42700001	42800000	Euchromatin
ch06	42800001	42900000	Euchromatin
ch06	42900001	43000000	Euchromatin
ch06	43000001	43100000	Euchromatin
ch06	43100001	43200000	Euchromatin
ch06	43200001	43300000	Euchromatin
ch06	43300001	43400000	Euchromatin
ch06	43400001	43500000	Euchromatin
ch06	43500001	43600000	Euchromatin
ch06	43600001	43700000	Euchromatin
ch06	43700001	43800000	Euchromatin
ch06	43800001	43900000	Euchromatin
ch06	43900001	44000000	Euchromatin
ch06	44000001	44100000	Euchromatin
ch06	44100001	44200000	Euchromatin
ch06	44200001	44300000	Euchromatin
ch06	44300001	44400000	Euchromatin
ch06	44400001	44500000	Euchromatin
ch06	44500001	44600000	Euchromatin
ch06	44600001	44700000	Euchromatin
ch06	44700001	44800000	Euchromatin
ch06	44800001	44900000	Euchromatin
ch06	44900001	45000000	Euchromatin
ch06	45000001	45100000	Euchromatin
ch06	45100001	45200000	Euchromatin
ch06	45200001	45300000	Euchromatin
ch06	45300001	45400000	Euchromatin
ch06	45400001	45500000	Euchromatin
ch06	45500001	45600000	Euchromatin
ch06	45600001	45700000	Euchromatin
ch06	45700001	45800000	Euchromatin
ch06	45800001	45900000	Euchromatin
ch06	45900001	46000000	Euchromatin
ch06	46000001	46100000	Euchromatin
ch06	46100001	46200000	Euchromatin
ch06	46200001	46300000	Euchromatin
ch06	46300001	46400000	Euchromatin
ch06	46400001	46500000	Euchromatin
ch06	46500001	46600000	Euchromatin
ch06	46600001	46700000	Euchromatin
ch06	46700001	46800000	Euchromatin
ch06	46800001	46900000	Euchromatin
ch06	46900001	47000000	Euchromatin
ch06	47000001	47100000	Euchromatin
ch06	47100001	47200000	Euchromatin
ch06	47200001	47258699	Euchromatin
ch07	1	100000	Euchromatin
ch07	100001	200000	Euchromatin
ch07	200001	300000	Euchromatin
ch07	300001	400000	Euchromatin
ch07	400001	500000	Euchromatin
ch07	500001	600000	Euchromatin
ch07	600001	700000	Euchromatin
ch07	700001	800000	Euchromatin
ch07	800001	900000	Euchromatin
ch07	900001	1000000	Euchromatin
ch07	1000001	1100000	Euchromatin
ch07	1100001	1200000	Euchromatin
ch07	1200001	1300000	Euchromatin
ch07	1300001	1400000	Euchromatin
ch07	1400001	1500000	Euchromatin
ch07	1500001	1600000	Euchromatin
ch07	1600001	1700000	Euchromatin
ch07	1700001	1800000	Euchromatin
ch07	1800001	1900000	Euchromatin
ch07	1900001	2000000	Euchromatin
ch07	2000001	2100000	Euchromatin
ch07	2100001	2200000	Euchromatin
ch07	2200001	2300000	Euchromatin
ch07	2300001	2400000	Euchromatin
ch07	2400001	2500000	Euchromatin
ch07	2500001	2600000	Euchromatin
ch07	2600001	2700000	Euchromatin
ch07	2700001	2800000	Euchromatin
ch07	2800001	2900000	Euchromatin
ch07	2900001	3000000	Euchromatin
ch07	3000001	3100000	Euchromatin
ch07	3100001	3200000	Euchromatin
ch07	3200001	3300000	Euchromatin
ch07	3300001	3400000	Euchromatin
ch07	3400001	3500000	Euchromatin
ch07	3500001	3600000	Euchromatin
ch07	3600001	3700000	Euchromatin
ch07	3700001	3800000	Euchromatin
ch07	3800001	3900000	Euchromatin
ch07	3900001	4000000	Heterochromatin
ch07	4000001	4100000	Heterochromatin
ch07	4100001	4200000	Heterochromatin
ch07	4200001	4300000	Heterochromatin
ch07	4300001	4400000	Heterochromatin
ch07	4400001	4500000	Heterochromatin
ch07	4500001	4600000	Heterochromatin
ch07	4600001	4700000	Heterochromatin
ch07	4700001	4800000	Heterochromatin
ch07	4800001	4900000	Heterochromatin
ch07	4900001	5000000	Heterochromatin
ch07	5000001	5100000	Heterochromatin
ch07	5100001	5200000	Heterochromatin
ch07	5200001	5300000	Heterochromatin
ch07	5300001	5400000	Heterochromatin
ch07	5400001	5500000	Heterochromatin
ch07	5500001	5600000	Heterochromatin
ch07	5600001	5700000	Heterochromatin
ch07	5700001	5800000	Heterochromatin
ch07	5800001	5900000	Heterochromatin
ch07	5900001	6000000	Heterochromatin
ch07	6000001	6100000	Heterochromatin
ch07	6100001	6200000	Heterochromatin
ch07	6200001	6300000	Heterochromatin
ch07	6300001	6400000	Heterochromatin
ch07	6400001	6500000	Heterochromatin
ch07	6500001	6600000	Heterochromatin
ch07	6600001	6700000	Heterochromatin
ch07	6700001	6800000	Heterochromatin
ch07	6800001	6900000	Heterochromatin
ch07	6900001	7000000	Heterochromatin
ch07	7000001	7100000	Heterochromatin
ch07	7100001	7200000	Heterochromatin
ch07	7200001	7300000	Heterochromatin
ch07	7300001	7400000	Heterochromatin
ch07	7400001	7500000	Heterochromatin
ch07	7500001	7600000	Heterochromatin
ch07	7600001	7700000	Heterochromatin
ch07	7700001	7800000	Heterochromatin
ch07	7800001	7900000	Heterochromatin
ch07	7900001	8000000	Heterochromatin
ch07	8000001	8100000	Heterochromatin
ch07	8100001	8200000	Heterochromatin
ch07	8200001	8300000	Heterochromatin
ch07	8300001	8400000	Heterochromatin
ch07	8400001	8500000	Heterochromatin
ch07	8500001	8600000	Heterochromatin
ch07	8600001	8700000	Heterochromatin
ch07	8700001	8800000	Heterochromatin
ch07	8800001	8900000	Heterochromatin
ch07	8900001	9000000	Heterochromatin
ch07	9000001	9100000	Heterochromatin
ch07	9100001	9200000	Heterochromatin
ch07	9200001	9300000	Heterochromatin
ch07	9300001	9400000	Heterochromatin
ch07	9400001	9500000	Heterochromatin
ch07	9500001	9600000	Heterochromatin
ch07	9600001	9700000	Heterochromatin
ch07	9700001	9800000	Heterochromatin
ch07	9800001	9900000	Heterochromatin
ch07	9900001	10000000	Heterochromatin
ch07	10000001	10100000	Heterochromatin
ch07	10100001	10200000	Heterochromatin
ch07	10200001	10300000	Heterochromatin
ch07	10300001	10400000	Heterochromatin
ch07	10400001	10500000	Heterochromatin
ch07	10500001	10600000	Heterochromatin
ch07	10600001	10700000	Heterochromatin
ch07	10700001	10800000	Heterochromatin
ch07	10800001	10900000	Heterochromatin
ch07	10900001	11000000	Heterochromatin
ch07	11000001	11100000	Heterochromatin
ch07	11100001	11200000	Heterochromatin
ch07	11200001	11300000	Heterochromatin
ch07	11300001	11400000	Heterochromatin
ch07	11400001	11500000	Heterochromatin
ch07	11500001	11600000	Heterochromatin
ch07	11600001	11700000	Heterochromatin
ch07	11700001	11800000	Heterochromatin
ch07	11800001	11900000	Heterochromatin
ch07	11900001	12000000	Heterochromatin
ch07	12000001	12100000	Heterochromatin
ch07	12100001	12200000	Heterochromatin
ch07	12200001	12300000	Heterochromatin
ch07	12300001	12400000	Heterochromatin
ch07	12400001	12500000	Heterochromatin
ch07	12500001	12600000	Heterochromatin
ch07	12600001	12700000	Heterochromatin
ch07	12700001	12800000	Heterochromatin
ch07	12800001	12900000	Heterochromatin
ch07	12900001	13000000	Heterochromatin
ch07	13000001	13100000	Heterochromatin
ch07	13100001	13200000	Heterochromatin
ch07	13200001	13300000	Heterochromatin
ch07	13300001	13400000	Heterochromatin
ch07	13400001	13500000	Heterochromatin
ch07	13500001	13600000	Heterochromatin
ch07	13600001	13700000	Heterochromatin
ch07	13700001	13800000	Heterochromatin
ch07	13800001	13900000	Heterochromatin
ch07	13900001	14000000	Heterochromatin
ch07	14000001	14100000	Heterochromatin
ch07	14100001	14200000	Heterochromatin
ch07	14200001	14300000	Heterochromatin
ch07	14300001	14400000	Heterochromatin
ch07	14400001	14500000	Heterochromatin
ch07	14500001	14600000	Heterochromatin
ch07	14600001	14700000	Heterochromatin
ch07	14700001	14800000	Heterochromatin
ch07	14800001	14900000	Heterochromatin
ch07	14900001	15000000	Heterochromatin
ch07	15000001	15100000	Heterochromatin
ch07	15100001	15200000	Heterochromatin
ch07	15200001	15300000	Heterochromatin
ch07	15300001	15400000	Heterochromatin
ch07	15400001	15500000	Heterochromatin
ch07	15500001	15600000	Heterochromatin
ch07	15600001	15700000	Heterochromatin
ch07	15700001	15800000	Heterochromatin
ch07	15800001	15900000	Heterochromatin
ch07	15900001	16000000	Heterochromatin
ch07	16000001	16100000	Heterochromatin
ch07	16100001	16200000	Heterochromatin
ch07	16200001	16300000	Heterochromatin
ch07	16300001	16400000	Heterochromatin
ch07	16400001	16500000	Heterochromatin
ch07	16500001	16600000	Heterochromatin
ch07	16600001	16700000	Heterochromatin
ch07	16700001	16800000	Heterochromatin
ch07	16800001	16900000	Heterochromatin
ch07	16900001	17000000	Heterochromatin
ch07	17000001	17100000	Heterochromatin
ch07	17100001	17200000	Heterochromatin
ch07	17200001	17300000	Heterochromatin
ch07	17300001	17400000	Heterochromatin
ch07	17400001	17500000	Heterochromatin
ch07	17500001	17600000	Heterochromatin
ch07	17600001	17700000	Heterochromatin
ch07	17700001	17800000	Heterochromatin
ch07	17800001	17900000	Heterochromatin
ch07	17900001	18000000	Heterochromatin
ch07	18000001	18100000	Heterochromatin
ch07	18100001	18200000	Heterochromatin
ch07	18200001	18300000	Heterochromatin
ch07	18300001	18400000	Heterochromatin
ch07	18400001	18500000	Heterochromatin
ch07	18500001	18600000	Heterochromatin
ch07	18600001	18700000	Heterochromatin
ch07	18700001	18800000	Heterochromatin
ch07	18800001	18900000	Heterochromatin
ch07	18900001	19000000	Heterochromatin
ch07	19000001	19100000	Heterochromatin
ch07	19100001	19200000	Heterochromatin
ch07	19200001	19300000	Heterochromatin
ch07	19300001	19400000	Heterochromatin
ch07	19400001	19500000	Heterochromatin
ch07	19500001	19600000	Heterochromatin
ch07	19600001	19700000	Heterochromatin
ch07	19700001	19800000	Heterochromatin
ch07	19800001	19900000	Heterochromatin
ch07	19900001	20000000	Heterochromatin
ch07	20000001	20100000	Heterochromatin
ch07	20100001	20200000	Heterochromatin
ch07	20200001	20300000	Heterochromatin
ch07	20300001	20400000	Heterochromatin
ch07	20400001	20500000	Heterochromatin
ch07	20500001	20600000	Heterochromatin
ch07	20600001	20700000	Heterochromatin
ch07	20700001	20800000	Heterochromatin
ch07	20800001	20900000	Heterochromatin
ch07	20900001	21000000	Heterochromatin
ch07	21000001	21100000	Heterochromatin
ch07	21100001	21200000	Heterochromatin
ch07	21200001	21300000	Heterochromatin
ch07	21300001	21400000	Heterochromatin
ch07	21400001	21500000	Heterochromatin
ch07	21500001	21600000	Heterochromatin
ch07	21600001	21700000	Heterochromatin
ch07	21700001	21800000	Heterochromatin
ch07	21800001	21900000	Heterochromatin
ch07	21900001	22000000	Heterochromatin
ch07	22000001	22100000	Heterochromatin
ch07	22100001	22200000	Heterochromatin
ch07	22200001	22300000	Heterochromatin
ch07	22300001	22400000	Heterochromatin
ch07	22400001	22500000	Heterochromatin
ch07	22500001	22600000	Heterochromatin
ch07	22600001	22700000	Heterochromatin
ch07	22700001	22800000	Heterochromatin
ch07	22800001	22900000	Heterochromatin
ch07	22900001	23000000	Heterochromatin
ch07	23000001	23100000	Heterochromatin
ch07	23100001	23200000	Heterochromatin
ch07	23200001	23300000	Heterochromatin
ch07	23300001	23400000	Heterochromatin
ch07	23400001	23500000	Heterochromatin
ch07	23500001	23600000	Heterochromatin
ch07	23600001	23700000	Heterochromatin
ch07	23700001	23800000	Heterochromatin
ch07	23800001	23900000	Heterochromatin
ch07	23900001	24000000	Heterochromatin
ch07	24000001	24100000	Heterochromatin
ch07	24100001	24200000	Heterochromatin
ch07	24200001	24300000	Heterochromatin
ch07	24300001	24400000	Heterochromatin
ch07	24400001	24500000	Heterochromatin
ch07	24500001	24600000	Heterochromatin
ch07	24600001	24700000	Heterochromatin
ch07	24700001	24800000	Heterochromatin
ch07	24800001	24900000	Heterochromatin
ch07	24900001	25000000	Heterochromatin
ch07	25000001	25100000	Heterochromatin
ch07	25100001	25200000	Heterochromatin
ch07	25200001	25300000	Heterochromatin
ch07	25300001	25400000	Heterochromatin
ch07	25400001	25500000	Heterochromatin
ch07	25500001	25600000	Heterochromatin
ch07	25600001	25700000	Heterochromatin
ch07	25700001	25800000	Heterochromatin
ch07	25800001	25900000	Heterochromatin
ch07	25900001	26000000	Heterochromatin
ch07	26000001	26100000	Heterochromatin
ch07	26100001	26200000	Heterochromatin
ch07	26200001	26300000	Heterochromatin
ch07	26300001	26400000	Heterochromatin
ch07	26400001	26500000	Heterochromatin
ch07	26500001	26600000	Heterochromatin
ch07	26600001	26700000	Heterochromatin
ch07	26700001	26800000	Heterochromatin
ch07	26800001	26900000	Heterochromatin
ch07	26900001	27000000	Heterochromatin
ch07	27000001	27100000	Heterochromatin
ch07	27100001	27200000	Heterochromatin
ch07	27200001	27300000	Heterochromatin
ch07	27300001	27400000	Heterochromatin
ch07	27400001	27500000	Heterochromatin
ch07	27500001	27600000	Heterochromatin
ch07	27600001	27700000	Heterochromatin
ch07	27700001	27800000	Heterochromatin
ch07	27800001	27900000	Heterochromatin
ch07	27900001	28000000	Heterochromatin
ch07	28000001	28100000	Heterochromatin
ch07	28100001	28200000	Heterochromatin
ch07	28200001	28300000	Heterochromatin
ch07	28300001	28400000	Heterochromatin
ch07	28400001	28500000	Heterochromatin
ch07	28500001	28600000	Heterochromatin
ch07	28600001	28700000	Heterochromatin
ch07	28700001	28800000	Heterochromatin
ch07	28800001	28900000	Heterochromatin
ch07	28900001	29000000	Heterochromatin
ch07	29000001	29100000	Heterochromatin
ch07	29100001	29200000	Heterochromatin
ch07	29200001	29300000	Heterochromatin
ch07	29300001	29400000	Heterochromatin
ch07	29400001	29500000	Heterochromatin
ch07	29500001	29600000	Heterochromatin
ch07	29600001	29700000	Heterochromatin
ch07	29700001	29800000	Heterochromatin
ch07	29800001	29900000	Heterochromatin
ch07	29900001	30000000	Heterochromatin
ch07	30000001	30100000	Heterochromatin
ch07	30100001	30200000	Heterochromatin
ch07	30200001	30300000	Heterochromatin
ch07	30300001	30400000	Heterochromatin
ch07	30400001	30500000	Heterochromatin
ch07	30500001	30600000	Heterochromatin
ch07	30600001	30700000	Heterochromatin
ch07	30700001	30800000	Heterochromatin
ch07	30800001	30900000	Heterochromatin
ch07	30900001	31000000	Heterochromatin
ch07	31000001	31100000	Heterochromatin
ch07	31100001	31200000	Heterochromatin
ch07	31200001	31300000	Heterochromatin
ch07	31300001	31400000	Heterochromatin
ch07	31400001	31500000	Heterochromatin
ch07	31500001	31600000	Heterochromatin
ch07	31600001	31700000	Heterochromatin
ch07	31700001	31800000	Heterochromatin
ch07	31800001	31900000	Heterochromatin
ch07	31900001	32000000	Heterochromatin
ch07	32000001	32100000	Heterochromatin
ch07	32100001	32200000	Heterochromatin
ch07	32200001	32300000	Heterochromatin
ch07	32300001	32400000	Heterochromatin
ch07	32400001	32500000	Heterochromatin
ch07	32500001	32600000	Heterochromatin
ch07	32600001	32700000	Heterochromatin
ch07	32700001	32800000	Heterochromatin
ch07	32800001	32900000	Heterochromatin
ch07	32900001	33000000	Heterochromatin
ch07	33000001	33100000	Heterochromatin
ch07	33100001	33200000	Heterochromatin
ch07	33200001	33300000	Heterochromatin
ch07	33300001	33400000	Heterochromatin
ch07	33400001	33500000	Heterochromatin
ch07	33500001	33600000	Heterochromatin
ch07	33600001	33700000	Heterochromatin
ch07	33700001	33800000	Heterochromatin
ch07	33800001	33900000	Heterochromatin
ch07	33900001	34000000	Heterochromatin
ch07	34000001	34100000	Heterochromatin
ch07	34100001	34200000	Heterochromatin
ch07	34200001	34300000	Heterochromatin
ch07	34300001	34400000	Heterochromatin
ch07	34400001	34500000	Heterochromatin
ch07	34500001	34600000	Heterochromatin
ch07	34600001	34700000	Heterochromatin
ch07	34700001	34800000	Heterochromatin
ch07	34800001	34900000	Heterochromatin
ch07	34900001	35000000	Heterochromatin
ch07	35000001	35100000	Heterochromatin
ch07	35100001	35200000	Heterochromatin
ch07	35200001	35300000	Heterochromatin
ch07	35300001	35400000	Heterochromatin
ch07	35400001	35500000	Heterochromatin
ch07	35500001	35600000	Heterochromatin
ch07	35600001	35700000	Heterochromatin
ch07	35700001	35800000	Heterochromatin
ch07	35800001	35900000	Heterochromatin
ch07	35900001	36000000	Heterochromatin
ch07	36000001	36100000	Heterochromatin
ch07	36100001	36200000	Heterochromatin
ch07	36200001	36300000	Heterochromatin
ch07	36300001	36400000	Heterochromatin
ch07	36400001	36500000	Heterochromatin
ch07	36500001	36600000	Heterochromatin
ch07	36600001	36700000	Heterochromatin
ch07	36700001	36800000	Heterochromatin
ch07	36800001	36900000	Heterochromatin
ch07	36900001	37000000	Heterochromatin
ch07	37000001	37100000	Heterochromatin
ch07	37100001	37200000	Heterochromatin
ch07	37200001	37300000	Heterochromatin
ch07	37300001	37400000	Heterochromatin
ch07	37400001	37500000	Heterochromatin
ch07	37500001	37600000	Heterochromatin
ch07	37600001	37700000	Heterochromatin
ch07	37700001	37800000	Heterochromatin
ch07	37800001	37900000	Heterochromatin
ch07	37900001	38000000	Heterochromatin
ch07	38000001	38100000	Heterochromatin
ch07	38100001	38200000	Heterochromatin
ch07	38200001	38300000	Heterochromatin
ch07	38300001	38400000	Heterochromatin
ch07	38400001	38500000	Heterochromatin
ch07	38500001	38600000	Heterochromatin
ch07	38600001	38700000	Heterochromatin
ch07	38700001	38800000	Heterochromatin
ch07	38800001	38900000	Heterochromatin
ch07	38900001	39000000	Heterochromatin
ch07	39000001	39100000	Heterochromatin
ch07	39100001	39200000	Heterochromatin
ch07	39200001	39300000	Heterochromatin
ch07	39300001	39400000	Heterochromatin
ch07	39400001	39500000	Heterochromatin
ch07	39500001	39600000	Heterochromatin
ch07	39600001	39700000	Heterochromatin
ch07	39700001	39800000	Heterochromatin
ch07	39800001	39900000	Heterochromatin
ch07	39900001	40000000	Heterochromatin
ch07	40000001	40100000	Heterochromatin
ch07	40100001	40200000	Heterochromatin
ch07	40200001	40300000	Heterochromatin
ch07	40300001	40400000	Heterochromatin
ch07	40400001	40500000	Heterochromatin
ch07	40500001	40600000	Heterochromatin
ch07	40600001	40700000	Heterochromatin
ch07	40700001	40800000	Heterochromatin
ch07	40800001	40900000	Heterochromatin
ch07	40900001	41000000	Heterochromatin
ch07	41000001	41100000	Heterochromatin
ch07	41100001	41200000	Heterochromatin
ch07	41200001	41300000	Heterochromatin
ch07	41300001	41400000	Heterochromatin
ch07	41400001	41500000	Heterochromatin
ch07	41500001	41600000	Heterochromatin
ch07	41600001	41700000	Heterochromatin
ch07	41700001	41800000	Heterochromatin
ch07	41800001	41900000	Heterochromatin
ch07	41900001	42000000	Heterochromatin
ch07	42000001	42100000	Heterochromatin
ch07	42100001	42200000	Heterochromatin
ch07	42200001	42300000	Heterochromatin
ch07	42300001	42400000	Heterochromatin
ch07	42400001	42500000	Heterochromatin
ch07	42500001	42600000	Heterochromatin
ch07	42600001	42700000	Heterochromatin
ch07	42700001	42800000	Heterochromatin
ch07	42800001	42900000	Heterochromatin
ch07	42900001	43000000	Heterochromatin
ch07	43000001	43100000	Heterochromatin
ch07	43100001	43200000	Heterochromatin
ch07	43200001	43300000	Heterochromatin
ch07	43300001	43400000	Heterochromatin
ch07	43400001	43500000	Heterochromatin
ch07	43500001	43600000	Heterochromatin
ch07	43600001	43700000	Heterochromatin
ch07	43700001	43800000	Heterochromatin
ch07	43800001	43900000	Heterochromatin
ch07	43900001	44000000	Heterochromatin
ch07	44000001	44100000	Heterochromatin
ch07	44100001	44200000	Heterochromatin
ch07	44200001	44300000	Heterochromatin
ch07	44300001	44400000	Heterochromatin
ch07	44400001	44500000	Heterochromatin
ch07	44500001	44600000	Heterochromatin
ch07	44600001	44700000	Heterochromatin
ch07	44700001	44800000	Heterochromatin
ch07	44800001	44900000	Heterochromatin
ch07	44900001	45000000	Heterochromatin
ch07	45000001	45100000	Heterochromatin
ch07	45100001	45200000	Heterochromatin
ch07	45200001	45300000	Heterochromatin
ch07	45300001	45400000	Heterochromatin
ch07	45400001	45500000	Heterochromatin
ch07	45500001	45600000	Heterochromatin
ch07	45600001	45700000	Heterochromatin
ch07	45700001	45800000	Heterochromatin
ch07	45800001	45900000	Heterochromatin
ch07	45900001	46000000	Heterochromatin
ch07	46000001	46100000	Heterochromatin
ch07	46100001	46200000	Heterochromatin
ch07	46200001	46300000	Heterochromatin
ch07	46300001	46400000	Heterochromatin
ch07	46400001	46500000	Heterochromatin
ch07	46500001	46600000	Heterochromatin
ch07	46600001	46700000	Heterochromatin
ch07	46700001	46800000	Heterochromatin
ch07	46800001	46900000	Heterochromatin
ch07	46900001	47000000	Heterochromatin
ch07	47000001	47100000	Heterochromatin
ch07	47100001	47200000	Heterochromatin
ch07	47200001	47300000	Heterochromatin
ch07	47300001	47400000	Heterochromatin
ch07	47400001	47500000	Heterochromatin
ch07	47500001	47600000	Heterochromatin
ch07	47600001	47700000	Heterochromatin
ch07	47700001	47800000	Heterochromatin
ch07	47800001	47900000	Heterochromatin
ch07	47900001	48000000	Heterochromatin
ch07	48000001	48100000	Heterochromatin
ch07	48100001	48200000	Heterochromatin
ch07	48200001	48300000	Heterochromatin
ch07	48300001	48400000	Heterochromatin
ch07	48400001	48500000	Heterochromatin
ch07	48500001	48600000	Heterochromatin
ch07	48600001	48700000	Heterochromatin
ch07	48700001	48800000	Heterochromatin
ch07	48800001	48900000	Heterochromatin
ch07	48900001	49000000	Heterochromatin
ch07	49000001	49100000	Heterochromatin
ch07	49100001	49200000	Heterochromatin
ch07	49200001	49300000	Heterochromatin
ch07	49300001	49400000	Heterochromatin
ch07	49400001	49500000	Heterochromatin
ch07	49500001	49600000	Heterochromatin
ch07	49600001	49700000	Heterochromatin
ch07	49700001	49800000	Heterochromatin
ch07	49800001	49900000	Heterochromatin
ch07	49900001	50000000	Heterochromatin
ch07	50000001	50100000	Heterochromatin
ch07	50100001	50200000	Heterochromatin
ch07	50200001	50300000	Heterochromatin
ch07	50300001	50400000	Heterochromatin
ch07	50400001	50500000	Heterochromatin
ch07	50500001	50600000	Heterochromatin
ch07	50600001	50700000	Heterochromatin
ch07	50700001	50800000	Heterochromatin
ch07	50800001	50900000	Heterochromatin
ch07	50900001	51000000	Heterochromatin
ch07	51000001	51100000	Heterochromatin
ch07	51100001	51200000	Heterochromatin
ch07	51200001	51300000	Heterochromatin
ch07	51300001	51400000	Heterochromatin
ch07	51400001	51500000	Heterochromatin
ch07	51500001	51600000	Heterochromatin
ch07	51600001	51700000	Heterochromatin
ch07	51700001	51800000	Heterochromatin
ch07	51800001	51900000	Heterochromatin
ch07	51900001	52000000	Heterochromatin
ch07	52000001	52100000	Heterochromatin
ch07	52100001	52200000	Heterochromatin
ch07	52200001	52300000	Heterochromatin
ch07	52300001	52400000	Heterochromatin
ch07	52400001	52500000	Heterochromatin
ch07	52500001	52600000	Heterochromatin
ch07	52600001	52700000	Heterochromatin
ch07	52700001	52800000	Heterochromatin
ch07	52800001	52900000	Heterochromatin
ch07	52900001	53000000	Heterochromatin
ch07	53000001	53100000	Heterochromatin
ch07	53100001	53200000	Heterochromatin
ch07	53200001	53300000	Heterochromatin
ch07	53300001	53400000	Heterochromatin
ch07	53400001	53500000	Heterochromatin
ch07	53500001	53600000	Heterochromatin
ch07	53600001	53700000	Heterochromatin
ch07	53700001	53800000	Heterochromatin
ch07	53800001	53900000	Heterochromatin
ch07	53900001	54000000	Heterochromatin
ch07	54000001	54100000	Heterochromatin
ch07	54100001	54200000	Heterochromatin
ch07	54200001	54300000	Heterochromatin
ch07	54300001	54400000	Heterochromatin
ch07	54400001	54500000	Heterochromatin
ch07	54500001	54600000	Heterochromatin
ch07	54600001	54700000	Heterochromatin
ch07	54700001	54800000	Heterochromatin
ch07	54800001	54900000	Heterochromatin
ch07	54900001	55000000	Heterochromatin
ch07	55000001	55100000	Heterochromatin
ch07	55100001	55200000	Heterochromatin
ch07	55200001	55300000	Heterochromatin
ch07	55300001	55400000	Heterochromatin
ch07	55400001	55500000	Heterochromatin
ch07	55500001	55600000	Heterochromatin
ch07	55600001	55700000	Heterochromatin
ch07	55700001	55800000	Heterochromatin
ch07	55800001	55900000	Heterochromatin
ch07	55900001	56000000	Heterochromatin
ch07	56000001	56100000	Heterochromatin
ch07	56100001	56200000	Heterochromatin
ch07	56200001	56300000	Heterochromatin
ch07	56300001	56400000	Heterochromatin
ch07	56400001	56500000	Heterochromatin
ch07	56500001	56600000	Heterochromatin
ch07	56600001	56700000	Heterochromatin
ch07	56700001	56800000	Heterochromatin
ch07	56800001	56900000	Heterochromatin
ch07	56900001	57000000	Heterochromatin
ch07	57000001	57100000	Heterochromatin
ch07	57100001	57200000	Heterochromatin
ch07	57200001	57300000	Heterochromatin
ch07	57300001	57400000	Heterochromatin
ch07	57400001	57500000	Heterochromatin
ch07	57500001	57600000	Heterochromatin
ch07	57600001	57700000	Heterochromatin
ch07	57700001	57800000	Heterochromatin
ch07	57800001	57900000	Heterochromatin
ch07	57900001	58000000	Heterochromatin
ch07	58000001	58100000	Euchromatin
ch07	58100001	58200000	Euchromatin
ch07	58200001	58300000	Euchromatin
ch07	58300001	58400000	Euchromatin
ch07	58400001	58500000	Euchromatin
ch07	58500001	58600000	Euchromatin
ch07	58600001	58700000	Euchromatin
ch07	58700001	58800000	Euchromatin
ch07	58800001	58900000	Euchromatin
ch07	58900001	59000000	Euchromatin
ch07	59000001	59100000	Euchromatin
ch07	59100001	59200000	Euchromatin
ch07	59200001	59300000	Euchromatin
ch07	59300001	59400000	Euchromatin
ch07	59400001	59500000	Euchromatin
ch07	59500001	59600000	Euchromatin
ch07	59600001	59700000	Euchromatin
ch07	59700001	59800000	Euchromatin
ch07	59800001	59900000	Euchromatin
ch07	59900001	60000000	Euchromatin
ch07	60000001	60100000	Euchromatin
ch07	60100001	60200000	Euchromatin
ch07	60200001	60300000	Euchromatin
ch07	60300001	60400000	Euchromatin
ch07	60400001	60500000	Euchromatin
ch07	60500001	60600000	Euchromatin
ch07	60600001	60700000	Euchromatin
ch07	60700001	60800000	Euchromatin
ch07	60800001	60900000	Euchromatin
ch07	60900001	61000000	Euchromatin
ch07	61000001	61100000	Euchromatin
ch07	61100001	61200000	Euchromatin
ch07	61200001	61300000	Euchromatin
ch07	61300001	61400000	Euchromatin
ch07	61400001	61500000	Euchromatin
ch07	61500001	61600000	Euchromatin
ch07	61600001	61700000	Euchromatin
ch07	61700001	61800000	Euchromatin
